Series,Period,CAGR
Total Employees (companies in data),2011-2024,0.4525
Total Employees (companies in data),2011-2022,0.3712
Total Employees (companies in data),2022-2024,0.9934
Total Researchers (companies in data),2011-2024,0.4161
Total Researchers (companies in data),2011-2022,0.3712
Total Researchers (companies in data),2022-2024,0.6907
Total AGI Researchers (companies in data),2011-2024,0.508
Total AGI Researchers (companies in data),2011-2022,0.4314
Total AGI Researchers (companies in data),2022-2024,1.0089
Total AGI Researchers (all companies),2011-2024,0.508
Total AGI Researchers (all companies),2011-2022,0.4314
Total AGI Researchers (all companies),2022-2024,1.0089
Total AGI Reserarchers (incl acad),2011-2024,0.403
Total AGI Reserarchers (incl acad),2011-2022,0.3399
Total AGI Reserarchers (incl acad),2022-2024,0.8076
